Nom,Prix (€),Fréquence,Date de début,Catégorie,Engagement
Netflix,15.99,Mensuel,2025-09-28,Divertissement,Sans engagement
Spotify,9.99,Mensuel,2025-10-01,Musique,Sans engagement
Adobe Creative Cloud,62.00,Mensuel,2025-09-25,Productivité,12 mois
Microsoft 365,99.00,Annuel,2025-01-05,Productivité,12 mois
Google One,19.99,Annuel,2025-10-20,Cloud,Sans engagement
Disney+,8.99,Mensuel,2025-09-29,Divertissement,Sans engagement
iCloud+,2.99,Mensuel,2025-10-10,Cloud,Sans engagement
NordVPN,53.88,Annuel,2025-10-15,Productivité,24 mois
YouTube Premium,11.99,Mensuel,2025-10-05,Musique,Sans engagement
ChatGPT Plus,24.00,Mensuel,2025-10-19,Productivité,Sans engagement
Amazon Prime,69.90,Annuel,2024-09-25,Divertissement,12 mois
Canva Pro,12.99,Mensuel,2025-09-30,Productivité,Sans engagement
Dropbox,119.88,Annuel,2025-10-18,Cloud,12 mois
Apple TV+,6.99,Mensuel,2025-10-03,Divertissement,Sans engagement
Deezer,10.99,Mensuel,2025-09-27,Musique,Sans engagement
LinkedIn Premium,39.99,Mensuel,2025-09-21,Productivité,12 mois
PS Plus,59.99,Annuel,2024-10-22,Divertissement,12 mois
Evernote,6.99,Mensuel,2025-09-23,Productivité,Sans engagement
Notion Pro,8.00,Mensuel,2025-10-22,Productivité,Sans engagement
Dropbox Family,199.00,Annuel,2023-10-25,Cloud,24 mois
